,id,task_num,task_text,dept,task_responsibles_people,task_deadline,position,name,global_deadline,Tasks
0,0,Task1,Закупить книги. Срок завершения: 19 апр 15.,Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на специалиста первой категории административно-хозяйственного отдела Кравцову И.Е.,2015-04-18,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2013-04-10,
1,1,Task1,Провести анализ поставщиков для замены вышедшего из строя оборудования. Срок завершения: 24 октября 12.,Служба ИТ,Ответственность за исполнение распоряжения возложить на специалиста третьей категории Службы ИТ Кима Юрия Ивановича,2012-10-23,специалист третий категория служба ит,ким ю.и.,2013-06-02,
2,1,Task2,Выполнить ремонт кабеля сети передачи данных между этажами здания. Дата окончания: 12 авг 13.,Служба ИТ,Контроль над выполнением приказа возложить на системного администратора Сергеева Андрея,2013-08-11,системный администратор,сергеев а.,2013-06-02,
3,1,Task3,Создать и настроить виртуальную машину в соответствии с техническим заданием. Установить срок выполнения задачи до 10 сен 19.,Служба ИТ,Контроль над исполнением распоряжения оставить за специалистом третьей категории Службы ИТ Кимом Юрием Ивановичем,2019-09-09,специалист третий категория,ким ю.и.,2013-06-02,
4,2,Task1,Провести рефакторинг программного обеспечения для повышения производительности. Срок выполнения поручения: 24.12.20.,Отдел разработки систем,Контроль над исполнением распоряжения оставить за тимлидами проектной команды Абаимовым Симоном,2020-12-23,контроль над исполнение распоряжение,абаимов с.,2014-10-07,
5,2,Task2,Провести рефакторинг программного обеспечения для повышения производительности. Установить срок выполнения задачи до 01 января 2018 года.,Отдел разработки систем,Ответственным за исполнение настоящего приказа назначить тимлид проектной команды Абаимова Симона,2017-12-31,тимлида проектный команда,абаимов с.,2014-10-07,
6,2,Task3,Провести анализ накопленного технического долга и определить приоритеты исправления замечаний. Определить срок исполнения задачи вплоть до 18.04.17.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным программиста Абашкина Ореста,2017-04-17,программист,абашкин о.,2014-10-07,
7,2,Task4,Организовать регулярное проведение статус-митинга для координации задач разработки. Срок завершения: 14 мая 20.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить технического писателя Абалкина Зураба,2020-05-13,технический писатель,абалкин з.,2014-10-07,
8,2,Task5,Интегрировать в систему модуль мониторинга для нужд эксплуатации. Привести вышеизложенное поручение в исполнение к 11.01.20.,Отдел разработки систем,Контроль над исполнением распоряжения оставить за специалистом третьей категории отдела разработки пользовательских интерфейсов Андреевым С.Е.,2020-01-10,специалист третий категория,андреев с.е.,2014-10-07,
9,2,Task6,Интегрировать в систему модуль мониторинга для нужд эксплуатации. Срок завершения: 18.11.17.,Отдел разработки систем,За контроль и выполнение назначить ответственным специалиста третьей категории отдела разработки систем Андреева С.Е.,2017-11-17,специалист третий категория отдел разработка система,андреев с.е.,2014-10-07,
